city,deliveryTime,foodType,price,restaurantName
akola,29 MINS,"Ice Cream, Desserts",₹300 FOR TWO,Kwality Walls Frozen Dessert & Ice Cream Shop
akola,30 MINS,"Indian, Maharashtrian",₹300 FOR TWO,Hotel Mirch Masala
akola,38 MINS,"Chinese, Indian, Maharashtrian, Pizzas, Snacks",₹250 FOR TWO,SANSKRUTI GARDEN RESTAURANT
akola,36 MINS,Bakery,₹400 FOR TWO,Veera cake n bake
akola,28 MINS,"Indian, Ice Cream",₹0 FOR TWO,Dinshaw's Magic
akola,24 MINS,Beverages,₹200 FOR TWO,Guptaji Juice Centre
akola,34 MINS,"Biryani, Chinese, Continental, Fast Food, Indian",₹300 FOR TWO,Hotel Venus International
akola,36 MINS,"South Indian, Chinese",₹300 FOR TWO,Vaibhav Foods
akola,34 MINS,"Punjabi, North Indian, Fast Food, Biryani, Beverages",₹300 FOR TWO,Veggie The Restro
akola,36 MINS,Chinese,₹200 FOR TWO,Dine With Chinese
akola,38 MINS,"Indian, Mughlai, Chinese",₹350 FOR TWO,Baba Jaan Restaurant
akola,27 MINS,Fast Food,₹200 FOR TWO,vaibhav sweets
akola,29 MINS,Chinese,₹0 FOR TWO,Chinese Hut
akola,38 MINS,"Hyderabadi, Indian",₹200 FOR TWO,KHAN SAHAB KITCHEN
akola,29 MINS,"North Indian, Desserts, Chinese, Beverages",₹300 FOR TWO,Shaukeen's Restaurant And Cafe
akola,38 MINS,"Fast Food, North Indian",₹300 FOR TWO,Grill Inn
alwar,28 MINS,"Chinese, South Indian, Desserts",₹150 FOR TWO,Praveen Sai Bakers & Fast Food
alwar,30 MINS,North Indian,₹150 FOR TWO,Alwar Hotel
alwar,27 MINS,Fast Food,₹100 FOR TWO,SP Selection Point
alwar,25 MINS,Fast Food,₹100 FOR TWO,S.P Food Plaza ( A UNIT OF SELECTION POINT)
alwar,30 MINS,Pizzas,₹400 FOR TWO,Domino's Pizza
alwar,32 MINS,North Indian,₹150 FOR TWO,Mahaveer Dhaba
alwar,31 MINS,North Indian,₹100 FOR TWO,Mr. Spoon
alwar,27 MINS,Fast Food,₹100 FOR TWO,Kwality Fast food
alwar,31 MINS,Mexican,₹150 FOR TWO,De''Pizza Planet
alwar,25 MINS,"North Indian, Indian, South Indian",₹100 FOR TWO,ALWAR POHA CENTRE
alwar,26 MINS,North Indian,₹150 FOR TWO,Khandelwal Pavitra Bhojanlaya
alwar,27 MINS,North Indian,₹150 FOR TWO,Jai Durga Pavitra Bhojnalaya
alwar,25 MINS,"Desserts, Fast Food",₹150 FOR TWO,Kwality Bakery
alwar,30 MINS,"Beverages, Chinese, Desserts, Fast Food, Juices",₹150 FOR TWO,Tija 
alwar,27 MINS,North Indian,₹100 FOR TWO,New Hindustani Pavitra bhojanalya
alwar,31 MINS,"North Indian, Desserts",₹100 FOR TWO,Shivam Dhaba
amalner,-- MINS,"North Indian, Maharashtrian, Chinese",₹200 FOR TWO,Hotel Guru veg
ambikapur,70 MINS,"North Indian, Chinese, Beverages",₹200 FOR TWO,Maya Rasoi
ambikapur,64 MINS,"North Indian, Chinese, Beverages",₹200 FOR TWO,Ambika Roll Plaza
